Name,Rating,Year
The Shawshank Redemption,9.2,1994
The Godfather,9.1,1972
The Godfather: Part II,9.0,1974
The Dark Knight,9.0,2008
12 Angry Men,8.9,1957
Schindler's List,8.9,1993
The Lord of the Rings: The Return of the King,8.9,2003
Pulp Fiction,8.8,1994
"Il buono, il brutto, il cattivo",8.8,1966
The Lord of the Rings: The Fellowship of the Ring,8.8,2001
Fight Club,8.8,1999
Forrest Gump,8.8,1994
Inception,8.7,2010
Star Wars: Episode V - The Empire Strikes Back,8.7,1980
The Lord of the Rings: The Two Towers,8.7,2002
The Matrix,8.6,1999
Goodfellas,8.6,1990
One Flew Over the Cuckoo's Nest,8.6,1975
Shichinin no samurai,8.6,1954
Se7en,8.6,1995
Cidade de Deus,8.6,2002
La vita è bella,8.6,1997
The Silence of the Lambs,8.6,1991
It's a Wonderful Life,8.6,1946
Star Wars,8.6,1977
Gisaengchung,8.6,2019
Saving Private Ryan,8.5,1998
Sen to Chihiro no kamikakushi,8.5,2001
The Green Mile,8.5,1999
Interstellar,8.5,2014
Léon,8.5,1994
The Usual Suspects,8.5,1995
Seppuku,8.5,1962
The Lion King,8.5,1994
American History X,8.5,1998
The Pianist,8.5,2002
Terminator 2: Judgment Day,8.5,1991
Back to the Future,8.5,1985
Modern Times,8.5,1936
Psycho,8.5,1960
Gladiator,8.5,2000
City Lights,8.5,1931
The Intouchables,8.5,2011
The Departed,8.5,2006
Whiplash,8.5,2014
The Prestige,8.5,2006
Once Upon a Time in the West,8.5,1968
Hotaru no haka,8.4,1988
Casablanca,8.4,1942
Joker,8.4,2019
Nuovo Cinema Paradiso,8.4,1988
Rear Window,8.4,1954
Alien,8.4,1979
Apocalypse Now,8.4,1979
Memento,8.4,2000
Raiders of the Lost Ark,8.4,1981
The Great Dictator,8.4,1940
The Lives of Others,8.4,2006
Django Unchained,8.4,2012
Paths of Glory,8.4,1957
The Shining,8.4,1980
Avengers: Infinity War,8.4,2018
WALL·E,8.4,2008
Sunset Blvd.,8.4,1950
Spider-Man: Into the Spider-Verse,8.4,2018
Mononoke-hime,8.4,1997
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964
Oldeuboi,8.4,2003
Witness for the Prosecution,8.4,1957
Avengers: Endgame,8.3,2019
The Dark Knight Rises,8.3,2012
Once Upon a Time in America,8.3,1984
Aliens,8.3,1986
Kimi no na wa.,8.3,2016
Coco,8.3,2017
American Beauty,8.3,1999
Braveheart,8.3,1995
1917,8.3,2019
Das Boot,8.3,1981
3 Idiots,8.3,2009
Toy Story,8.3,1995
Tengoku to jigoku,8.3,1963
Taare Zameen Par,8.3,2007
Star Wars: Episode VI - Return of the Jedi,8.3,1983
Amadeus,8.3,1984
Reservoir Dogs,8.3,1992
Inglourious Basterds,8.3,2009
Good Will Hunting,8.3,1997
2001: A Space Odyssey,8.3,1968
Requiem for a Dream,8.3,2000
Vertigo,8.3,1958
M - Eine Stadt sucht einen Mörder,8.3,1931
Dangal,8.3,2016
Eternal Sunshine of the Spotless Mind,8.3,2004
Citizen Kane,8.3,1941
Jagten,8.3,2012
Capharnaüm,8.3,2018
Full Metal Jacket,8.3,1987
North by Northwest,8.3,1959
A Clockwork Orange,8.2,1971
Snatch,8.2,2000
The Kid,8.2,1921
Ladri di biciclette,8.2,1948
Singin' in the Rain,8.2,1952
Scarface,8.2,1983
Taxi Driver,8.2,1976
Amélie,8.2,2001
Lawrence of Arabia,8.2,1962
The Sting,8.2,1973
Toy Story 3,8.2,2010
Metropolis,8.2,1927
Ikiru,8.2,1952
Per qualche dollaro in più,8.2,1965
Jodaeiye Nader az Simin,8.2,2011
Double Indemnity,8.2,1944
The Apartment,8.2,1960
To Kill a Mockingbird,8.2,1962
Incendies,8.2,2010
Indiana Jones and the Last Crusade,8.2,1989
Up,8.2,2009
L.A. Confidential,8.2,1997
Monty Python and the Holy Grail,8.2,1975
Heat,8.2,1995
Rashômon,8.2,1950
Die Hard,8.2,1988
Yôjinbô,8.2,1961
Batman Begins,8.2,2005
Green Book,8.2,2018
Der Untergang,8.2,2004
Idi i smotri,8.2,1985
Unforgiven,8.2,1992
Bacheha-Ye aseman,8.2,1997
Some Like It Hot,8.2,1959
Hauru no ugoku shiro,8.2,2004
Ran,8.2,1985
The Great Escape,8.2,1963
All About Eve,8.2,1950
A Beautiful Mind,8.2,2001
Casino,8.2,1995
Pan's Labyrinth,8.2,2006
Tonari no Totoro,8.2,1988
El secreto de sus ojos,8.2,2009
Raging Bull,8.2,1980
"Lock, Stock and Two Smoking Barrels",8.2,1998
The Wolf of Wall Street,8.2,2013
The Treasure of the Sierra Madre,8.1,1948
Judgment at Nuremberg,8.1,1961
There Will Be Blood,8.1,2007
Babam ve Oglum,8.1,2005
"Three Billboards Outside Ebbing, Missouri",8.1,2017
The Gold Rush,8.1,1925
Chinatown,8.1,1974
Dial M for Murder,8.1,1954
V for Vendetta,8.1,2005
Det sjunde inseglet,8.1,1957
No Country for Old Men,8.1,2007
Inside Out,8.1,2015
Warrior,8.1,2011
Shutter Island,8.1,2010
Trainspotting,8.1,1996
The Elephant Man,8.1,1980
The Sixth Sense,8.1,1999
The Thing,8.1,1982
Room,8.1,2015
Gone with the Wind,8.1,1939
Jurassic Park,8.1,1993
Blade Runner,8.1,1982
The Bridge on the River Kwai,8.1,1957
Smultronstället,8.1,1957
Finding Nemo,8.1,2003
The Third Man,8.1,1949
On the Waterfront,8.1,1954
Stalker,8.1,1979
Fargo,8.1,1996
Kill Bill: Vol. 1,8.1,2003
The Truman Show,8.1,1998
Gran Torino,8.1,2008
Tôkyô monogatari,8.1,1953
The Deer Hunter,8.1,1978
Salinui chueok,8.1,2003
Relatos salvajes,8.1,2014
Eskiya,8.1,1996
Klaus,8.1,2019
Andhadhun,8.1,2018
The Big Lebowski,8.1,1998
Mary and Max,8.1,2009
In the Name of the Father,8.1,1993
Gone Girl,8.1,2014
Hacksaw Ridge,8.1,2016
The Grand Budapest Hotel,8.1,2014
Ford v. Ferrari,8.1,2019
Persona,8.1,1966
Mr. Smith Goes to Washington,8.1,1939
How to Train Your Dragon,8.1,2010
Before Sunrise,8.1,1995
Catch Me If You Can,8.1,2002
The General,8.1,1926
Sherlock Jr.,8.1,1924
Prisoners,8.1,2013
12 Years a Slave,8.1,2013
Cool Hand Luke,8.1,1967
Mad Max: Fury Road,8.1,2015
Stand by Me,8.1,1986
Network,8.1,1976
Le salaire de la peur,8.1,1953
Barry Lyndon,8.1,1975
Into the Wild,8.1,2007
Million Dollar Baby,8.1,2004
Life of Brian,8.1,1979
Platoon,8.1,1986
Hachi: A Dog's Tale,8.1,2009
Ben-Hur,8.1,1959
Rush,8.1,2013
Logan,8.0,2017
Andrei Rublev,8.0,1966
La passion de Jeanne d'Arc,8.0,1928
Harry Potter and the Deathly Hallows: Part 2,8.0,2011
Dead Poets Society,8.0,1989
Les quatre cents coups,8.0,1959
Rang De Basanti,8.0,2006
Hotel Rwanda,8.0,2004
Amores perros,8.0,2000
Kaze no tani no Naushika,8.0,1984
Spotlight,8.0,2015
Ah-ga-ssi,8.0,2016
Rebecca,8.0,1940
Rocky,8.0,1976
Portrait de la jeune fille en feu,8.0,2019
"Monsters, Inc.",8.0,2001
La haine,8.0,1995
It Happened One Night,8.0,1934
Faa yeung nin wa,8.0,2000
Gangs of Wasseypur,8.0,2012
Before Sunset,8.0,2004
